"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"12","59","Y2G13124878","VZS_TALS","Talstrasse","20140312000000","20190919000000","Hauptbahnhof","Seeufer","1.35","früher","0","1","0","POINT (2682755 1247322.9)"
"13","15","ECO10053914","VZS_SCHU","Schulstrasse","20120808000000","20190314000000","Irchel","Bahnhof Oerlikon","1.43","früher","0","1","0","POINT (2683405 1251616.9)"
"14","2960","ECO09113500","VZS_BINZ","Binzmühlestrasse","20180411000000","20180929000000","Oerlikon","Glaubtenstrasse","1.22","früher","0","1","0","POINT (2681857 1251990.9)"
"15","3928","ECO07091438","VZS_ANDR","Andreasstrasse","20190313000000","20190922000000","Oerlikon","Wallisellen","1.14","früher","0","1","0","POINT (2684578 1251966.9)"
"16","3929","ECO06040592","VZS_SCHU","Schulstrasse","20190315000000","20190618000000","Irchel","Bahnhof Oerlikon","1.43","früher","0","1","0","POINT (2683405 1251616.9)"
"17","3930","ECO07101504","VZS_HOFW","Hofwiesenstrasse","20190314000000","20190618000000","Bucheggplatz","---","1.28","früher","0","1","0","POINT (2682683.2 1250569)"
"18","3932","ECO08011668","VZS_BINZ","Binzmühlestrasse","20190315000000","20190510000000","Oerlikon","Glaubtenstrasse","1.22","früher","0","1","0","POINT (2681857 1251990.9)"
"19","9","ECO09113502","VZS_ANDR","Andreasstrasse","20101216000000","20190313000000","Oerlikon","Wallisellen","1.14","früher","0","1","0","POINT (2684578 1251966.9)"
"20","10","ECO09113503","VZS_SIHL","Sihlpromenade","20100714000000","20181221000000","Innenstadt","Saalsporthalle","1.09","früher","0","1","0","POINT (2682375 1247054.9)"
"21","12","ECO09113506","VZS_BERT","Bertastrasse","20100726000000","20181221000000","Wiedikon","Aussersihl","1.27","früher","0","1","0","POINT (2681385 1247735.9)"
